"Address","Straat en Huisnummer"
"Already registered? Click here to login.","Heeft u al een account? Klik dan hier om in te loggen."
"Apply Coupon","Coupon gebruiken"
"Back to homepage","Naar de homepage"
"Billing address","Factuuradres"
"Cancel Coupon","Coupon annuleren"
"City","Plaats"
"Close","Sluiten"
"Comments","Opmerkingen"
"Company","Bedrijf"
"Confirm password","Wachtwoord bevestigen"
"Country","Land"
"Coupon code:","Couponcode:"
"Create an account for later use","Maak direct een account aan"
"Email Address","E-mailadres"
"Email address","E-mail adres"
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Dit e-mail adres heeft al een account. <a href=""#"" onclick=""login_popup.show(); return false;"">Log in</a> of gebruik een ander adres."
"Enter your email below and we'll send you a new password by email.","Vul uw e-mail adres in en wij sturen u een nieuw wachtwoord per e-mail."
"First Name","Voornaam"
"Forgotten your password?","Wachtwoord vergeten?"
"Grand total","Te Betalen"
"How did you hear about us?","Hoe heeft u van ons gehoord?"
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","Ik accepteer de <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Algemene voorwaarden</a>"
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""javascript:void(0);"">Terms and Conditions</a>","Ik accepteer de <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""javascript:void(0);"">Algemene voorwaarden</a>"
"Invalid email address.","Ongeldig e-mail adres."
"Invalid login or password.","Ongeldige login-gegevens."
"Last Name","Achternaam"
"Login","Inloggen"
"Other","Overige"
"Other source, please specify ...","Andere bron, specificeer a.u.b."
"Password","Wachtwoord"
"Payment method","Betaling"
"Place order now","Plaats uw bestelling"
"Please check red fields below and try again.","Controleer de rood gemarkeerde velden en probeer het opnieuw."
"Please choose","Kies a.u.b."
"Please choose a payment method.","Kies een betaalwijze."
"Please choose a shipping method.","Kies een verzendwijze."
"Please choose the answer","Kies het antwoord a.u.b."
"Please enter a registered email address.","Vul een geregistreerd e-mail adres in."
"Please enter a username and password.","Vul uw gebruikersnaam en wachtwoord in."
"Please enter a valid coupon code.","Voer een geldige couponcode in."
"Please enter a valid email address","Vul een geldig e-mail adres in"
"Please enter valid details below.","Vul onderstaande gegevens in."
"Please login with your email address and password.","Log in met uw e-mail adres en wachtwoord"
"Please specify:","Specificeer:"
"Please wait, processing your order...","Moment a.u.b., uw bestelling wordt verwerkt"
"Product","Artikel"
"Qty","Aantal"
"Return to login","Terug naar login"
"Review your order","Controleer uw bestelling"
"Send password","Verstuur wachtwoord"
"Ship to the same address","Verzend naar dit adres"
"Shipping","Verzending"
"Shipping address","Verzendadres"
"Shipping method","Verzending"
"So where did you heard about us?","Waar heeft u van ons gehoord?"
"State/Province","Provincie"
"Subscribe to our newsletter","Abonneer op onze nieuwsbrief"
"Subtotal","Subtotaal"
"Tax","BTW"
"Telephone","Telefoonnummer"
"Where did you heard about us?","Waar heeft u van ons gehoord?"
"You need to have products in your cart to checkout, and your cart is empty.","U hebt niets in uw winkelwagen. Ga eerst winkelen.."
"Zip/Postal Code","Postcode"
