"* Required Fields","* Verplichte velden"
"Action","Actie"
"Add Field","Veld toevoegen"
"Add Field Set","Veldgroep toevoegen"
"Add Form","Formulier toevoegen"
"Add New Web-form","Nieuw formulier toevoegen"
"Additional CSS class","Extra CSS classes"
"Additional CSS style","Extra CSS styles"
"Adds web-form collected results to a page","Voegt de opgehaalde resultaten van een web-form toe aan een pagina."
"Adds web-form to a page","Web-form aan een pagina toevoegen"
"Always on","Always on"
"An error occurred during operation.","An error occurred during operation."
"An error occurred while updating records.","An error occurred while updating records."
"Are you sure to delete selected elements?","Are you sure to delete selected elements?"
"Are you sure to delete selected results?","Are you sure to delete selected results?"
"Auto (hidden for logged in customers)","Auto (hidden for logged in customers)"
"Blackglass","Blackglass"
"Captcha mode","Captcha mode"
"Clean","Clean"
"Code","Code"
"Code is used to help identify this field in scripts","Code is used to help identify this field in scripts"
"Code is used to help identify this web-form in scripts","Code is used to help identify this web-form in scripts"
"Contacts web-form","Contacts web-form"
"Customer","Customer"
"Customer e-mail template","Customer e-mail template"
"Date","Date"
"Date Created","Date Created"
"Default","Default"
"Default e-mail address","Default e-mail address"
"Delete","Delete"
"Description","Description"
"Design","Design"
"Disabled","Disabled"
"Duplicate results by e-mail to customer","Duplicate results by e-mail to customer"
"E-mail settings","E-mail settings"
"E-mail template for customers notification letters","E-mail template for customers notification letters"
"E-mail thumbnail height","E-mail thumbnail height"
"E-mail thumbnail width","E-mail thumbnail width"
"Edit '%s' Field - %s","Edit '%s' Field - %s"
"Edit '%s' Form","Edit '%s' Form"
"Edit Field","Edit Field"
"Edit Field Set","Veldgroep wijzigen"
"Edit Field Set '%s'","Wijzig veldgroep '%s'"
"Edit Web-form","Wijzig formulier"
"Enable approval","Enable approval"
"Enable approval of results","Enable approval of results"
"Enabled","Enabled"
"Field Information","Field Information"
"Field Set","Field Set"
"Field Sets","Field Sets"
"Field does not exist","Field does not exist"
"Field name display length","Field name display length"
"Field position in the form","Field position in the form"
"Field position in the form relative to field set","Field position in the form relative to field set"
"Field set","Field set"
"Field value(s)","Field value(s)"
"Field was successfully deleted","Field was successfully deleted"
"Field was successfully saved","Field was successfully saved"
"Fields","Fields"
"Fieldset does not exist","Fieldset does not exist"
"Fieldset position in the form","Fieldset position in the form"
"Fieldset was successfully deleted","Fieldset was successfully deleted"
"Fieldset was successfully saved","Fieldset was successfully saved"
"File","File"
"Form Information","Form Information"
"Forms Settings","Forms Settings"
"Forms will be submitted without page reloading","Forms will be submitted without page reloading"
"Frontend Template","Frontend Template"
"Grid thumbnail height","Grid thumbnail height"
"Grid thumbnail width","Grid thumbnail width"
"Guest","Guest"
"If assigned field set is not active the field won`t be displayed","If assigned field set is not active the field won`t be displayed"
