"# of Use","kan # gebruikt worden"
"%1$s incl tax.","%1$s incl. BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"%s and above","%s en daar boven"
"Based On","Gebaseerd op"
"Before Order Confirmation","Voorafgaand aan orderbevestiging"
"Best Value","Beste waarde"
"Block after Info Column","Blok na info-kolom"
"Bottom Block Options Wrapper","Voetblok opties container"
"Bottom/Left","Links onder"
"Bottom/Right","Rechts onder"
"Browse By","Blader per"
"Bundle Items","Gebundelde artikelen"
"Buy %1$s","Koop %1$s"
"Buy %1$s for","Koop %1$s voor"
"Buy %1$s for %2$s","Bestel %1 voor %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koop %1$s voor %2$s (%3$s incl. BTW) per stuk."
"Buy %1$s for %2$s each","Koop %1$s voor %2$s per stuk."
"Cache Lifetime (Seconds)","Cache Lifetime (in seconden)"
"Cache refresh needed.","Cache vernieuwen noodzakelijk"
"Can be Divided into Multiple Boxes for Shipping","Kan voor verzending opgedeeld worden in meerdere verpakkingen"
"Can be used only with catalog input type Dropdown","Kan alleen gebruikt worden met invoerveld van type Dropdown (keuzelijst)"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan alleen gebruikt worden met invoervelden van typen Dropdown (keuzelijst), Multiple select (meervoudige keuze) en Prijs"
"Can't create image.","Kan afbeelding niet aanmaken."
"Cancel","Annuleer"
"Cannot create image.","Afbeelding kan niet gemaakt worden"
"Cannot create writeable directory '%s'.","Kan geen schrijfbare map '%s' maken"
"Cart Item Attribute","Winkelwagenartikel attribuut"
"Catalog","Catalogus"
"Catalog Category (Anchor)","Catalogus categorie (verankerd)"
"Catalog Category (Non-Anchor)","Catalogus categorie (niet verankerd)"
"Catalog Category (Without Subcategories)","Catalogus categorie (zonder subcategorieën)"
"Catalog Category Link","Catalogus categorie link"
"Catalog New Products List","Lijst nieuwe catalogusproducten"
"Catalog Price Scope","Scope catalogusprijs"
"Catalog Product Compare List","Lijst vergelijken catalogusproducten"
"Catalog Product Email to a Friend","Product > e-mail naar een vriend"
"Catalog Product Image Gallery Popup","Catalogusproduct afbeeldingengallerij dialoogvenster"
"Catalog Product Link","Catalogusproduct snelkoppeling"
"Catalog Product View (Any)","Catalogusproductoverzicht (alles)"
"Catalog Product View (Configurable)","Catalogusproductoverzicht (configureerbaar)"
"Catalog Product View (Grouped)","Catalogusproductoverzicht (gegroepeerd)"
"Catalog Product View (Simple)","Catalogusproductoverzicht (eenvoudig)"
"Catalog Product View (Virtual)","Catalogusproductoverzicht (virtueel)"
"Catalog Section","Catalogus sectie"
"Catalog Seo Sitemap (Category List)","Seo > Sitemap > Categorieën lijst"
"Catalog Seo Sitemap (Category Tree)","Seo > Sitemap > Categorieën boomstructuur"
"Catalog Seo Sitemap (Common)","Seo > Sitemap (algemeen)"
"Catalog Seo Sitemap (Product List)","Seo > Sitemap (productlijst)"
"Catalog URL Rewrites","Catalogus URL herschrijvingen"
"Catalog product custom option values API","Catalogusproduct maatwerk optiewaarden API"
"Catalog product custom options API","Catalogusproduct maatwerk optie API"
"Catalog, Search","Catalogus, zoeken"
"Categories","Categorieën"
"Categories Sitemap","Sitemap categorie&euml;n"
"Category","Categorie"
"Category API","Categorie API"
"Category Data","Categoriegegevens"
"Category Flat Data","Categorieën platte gegevensstructuur"
"Category Link Block Template","Sjabloon categorie link blok"
"Category Link Inline Template","Sjabloon categorie link inline"
"Category Products","Categorie producten"
"Category Top Navigation","Categorie topnavigatie"
"Category URL Suffix","Categorie URL achtervoegsel"
"Category attributes API","Categorie-attributen API"
"Category move error","Fout: categorie verplaatsen"
"Category move operation is not possible: parent category is equal to child category.","Het verplaatsen van de categorie is niet mogelijk: Bovenliggende categorie is gelijk aan de onderliggende categorie"
"Category move operation is not possible: the current category was not found.","Het verplaatsen van de categorie is niet mogelijk: de huidige categorie kan niet gevonden worden."
"Category move operation is not possible: the new parent category was not found.","Categorie verplaatsing is niet mogelijk, de nieuwe categorie kan niet gevonden worden."
"Category must be an instance of Mage_Catalog_Model_Category.","Categorie moet van een type 'Mage_Catalog_Model_Category' afstammen."
"Center","Centreer"
"Change","Wijzigen"
"Change or Retrieve attribute store view","Winkelzicht attribuut wijzigen of ophalen"
"Change status","Toestand wijzigen"
"Check items to add to the cart or","Selecteer onderdelen om toe te voegen aan de winkelwagen of"
"Choose an Option...","Kies een optie..."
"Clear All","Alles wissen"
"Clear Price","Prijs leegmaken"
"Click for price","Klik om prijs te zien"
"Close Window","Sluit venster"
"Collapse All","Alles inklappen"
"Comma-separated.","Komma-gescheiden"
"Comparable","Vergelijkbaar"
"Comparable on Front-end","Vergelijkbaar aan voorzijde"
"Comparable on the Frontend","Vergelijkbaar aan voorzijde"
"Compare","Vergelijken"
"Compare Products","Producten vergelijken"
"Conditions Combination","Voorwaardencombinatie"
"Configurable Product","Configureerbaar product"
"Configurable Product Settings","Instellingen configureerbaar product"
"Configure Product","Configureer product"
"Continue","Doorgaan"
"Copy From Configurable","Kopi&euml;ren van configureerbare"
"Country/State","Land/provincie (staat)"
"Create","Aanmaken"
"Create (Upload)","Aanmaken (upload)"
"Create Empty","Aanmaken leeg"
"Create Permanent Redirect for URLs if URL Key Changed","Aanmaken permanente verwijzing (redirect) bij wijzigen van URL sleutel"
"Create Permanent Redirect for old URL","Aanmaken permanente verwijzing (redirect) voor oude URL"
"Create Product Settings","Aanmaken productinstellingen"
"Create Simple Associated Product","Aanmaken geassiocieerd simpel product"
"Create attribute set based on another set","Maak een attribuutset aan op basis van een andere set"
"Create new attribute","Nieuw attribuut"
"Create new category","Nieuwe categorie"
"Create new product","Nieuw product"
"Cross-sells","Bijkomende productverkopen (cross-selling)"
"Currently Shopping by:","Momenteel winkelend op:"
"Custom Design","Eigen ontwerp"
"Custom Options","Maatwerk opties"
"Custom options","Maatwerk opties"
"Customer Group","Klantgroep"
"Customers Reviews","Klantbeoordelingen"
"Customers Tagged Product","Door klanten gemarkeerd"
"Data Type for Saving in Database","Gegevenssoort voor opslaan in database"
"Date & Time Custom Options","Datum & tijd maatwerk opties"
"Date Fields Order","Datumveld volgorde"
"Date Subscribed","Datum inschrijving"
"Datetime","Datumtijd"
"Decimal","Decimaal"
"Declare attribute value saving scope","Attribuutwaarde opgeven voor opslaan van scope"
"Default ""What's This"" Text Message","Standaard ""Wat is dit?"" bericht"
"Default Popup Text Message","Standaard modaal (popup) bericht"
"Default Price","Standaardprijs"
"Default Price Navigation Step","Stappen (10/20/30/ etc...)"
"Default Qty","Standaardhoeveelheid"
"Default Values","Standaardwaarden"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Bepalend voor de scope op valuta ingesteld onder (""Valuta-instellingen"" > ""Valuta-opties"" > ""Standaardvaluta"")."
"Delete","Verwijder"
"Delete Attribute","Verwijder attribuut"
"Delete Attribute Set","Verwijder attribuutset"
"Delete Category","Verwijder categorie"
"Delete Group Price","Verwijder groepsprijs"
"Delete Option","Verwijder optie"
"Delete Row","Verwijder rij"
"Delete Search","Verwijder zoekactie"
"Delete Selected Group","Verwijder geselecteerde groep"
"Delete Tier","Verwijder staffel"
"Delete attribute","Verwijder attribuut"
"Delete category","Verwijder categorie"
"Delete product","Verwijderen product"
"Depends on design theme","Afhankelijk van ontwerpthema"
"Design","Ontwerp"
"Details","Details"
"Disabled","Uitgeschakeld"
"Disallowed file type.","Niet-toegestane bestandstypes"
"Display Actual Price","Werkelijke prijs weergeven"
"Display Price Interval as One Price","Prijsinterval als één prijs weergeven"
"Display Product Count","Aantal producten weergeven"
"Display in Suggested Terms","In voorgestelde termen weergeven"
"Double click on a group to rename it","Dubbelklik op een groep om deze te hernoemen"
"Double click on above image to view full picture","Dubbelklik op de afbeelding voor een groter formaat"
"Downloadable Information","Downloadbare informatie"
"Duplicate","Dupliceren"
"Duplicate website group price customer group.","Duplicaat website groepsprijs klantgroepen."
"Duplicate website tier price customer group and quantity.","Duplicaat staffel op website voor klantgroep en aantal"
"Duplicate website, country and state tax found.","Duplicaat website, land en BTW gevonden"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Bijv. {{media url=""pad/naar/afbeelding.jpg""}} {{skin url=""pad/naar/afbeelding.jpg""}}. Dynamisch parsen is van invloed op de catalogus performance."
"Edit","Bewerk"
"Edit Attribute Set '%s'","Bewerk attribuutset '%s'"
"Edit Product Attribute","Bewerk productattribuut"
"Edit Product Attribute ""%s""","Bewerk productattribuut ""%s"""
"Edit Search","Bewerk zoekactie"
"Edit Search '%s'","Bewerk zoekactie '%s'"
"Edit Set Name","Bewerk naam set"
"Email","E-mail"
"Email to a Friend","E-mail een vriend"
"Empty","Leeg"
"Enable MAP","Inschakelen minimum geadverteerde verkoopprijs"
"Enable Qty Increments","Inschakelen hoeveelheid vergroten"
"Enable WYSIWYG","Inschakelen What You See Is What You Get (WYSISWYG) editor"
"Enabled","Ingeschakeld"
"Error during retrieval of option value: %s","Fout tijdens opvragen van optiewaarde: %s-"
"Exclude","Sluit uit"
"Expand All","Alles uitklappen"
"Failed","Mislukt"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Niet mogelijk om bestand te kopieren %s. Verwijder media met niet-bestaande bestanden en probeer nogmaals."
"Failed to move file: %s","Gefaald te verplaatsen bestand: %s"
"Feature Products","Kenmerk producten"
"Field is not complete","Veld is niet compleet"
"File options format is not valid.","Bestandoptiesformat is niet geldig."
"File upload failed","Bestand upload mislukt."
"Filter model name must be declared.","Filtermodel moet gedeclareerd zijn."
"Filter must be an object. Please set correct filter.","Filter moet een object zijn. Stel een correcte filter in."
"Filterable (no results)","Filterbaar (geen resultaten)"
"Filterable (with results)","Filterbaar (met resultaten)"
"First Name","Voornaam"
"Fixed","Vast"
"For internal use.","Voor intern gebruik."
"For the last time placed.","Voor de laatste maal geplaatst."
"Frontend","Frontend"
"Frontend Model","Frontend model"
"Frontend Properties","Frontend eigenschappen"
"Gallery","Gallerij"
"General Information","Algemene informatie"
"Get full information about attribute with list of options","Ophalen volledige informatie over attribuut op met lijst van opties"
"Get full information about custom option in product","Ophalen volledige informatie maatwerk opties in product"
"Get list of available custom option types","Ophalen lijst met beschikbare maatwerk optiesoorten"
"Get list of non-default attributes by product type and attributes set","Ophalen lijst met niet-standaard attributen per producttype en attributenset"
"Get list of possible attribute types","Ophalen lijst van mogelijk attribuutsoorten"
"Get special price","Ophalen aanbiedingsprijs"
"Global","Systeem"
"Globally Editable","Systeembreed bewerkbaar"
"Go to Home Page","Naar 'Home' pagina"
"Grid","Raster"
"Group add","Groep toevoegen"
"Group remove","Groep verwijderen"
"Grouped Product","Gegroepeerd product"
"Groups","Groepen"
"Home","Home"
"ID","Id"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Indien leeg gelaten wordt de categorienaam gebruikt."
"If empty, the Product Name will be used","Indien leeg gelaten wordt de productnaam gebruikt."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Indien geen keuzewaarde voor een winkel op gegeven is, zal de standaardwaarde gebruikt worden."
"Image","Afbeelding"
"Image content is not valid base64 data.","Afbeeldingsinhoud bevat geen geldige base64-geencodeerde gegevens"
"Image does not exist.","Afbeelding bestaat niet."
"Image file was not found.","Afbeelding was niet gevonden."
"Image type and information need to be specified for each store view.","Afbeeldingssoort en -gegevens moeten voor elk winkelzicht apart worden opgegeven."
"In Cart","In winkelwagen"
"In Stock","Op voorraad"
"In stock","Op voorraad"
"Incl. Tax","Incl. BTW"
"Index product and categories URL rewrites","Product- en categorie URL-herschrijvingen"
"Index product attributes for layered navigation building","Productattributen voor gelaagde navigatie"
"Index product prices","Productprijzen"
"Indexed category/products association","Geïndexeerde categorie/product-koppeling"
"Info","Info"
"Info Column Options Wrapper","Weergave opties wrapper"
"Input Type","Soort invoer"
"Integer","Geheel getal"
"Interval Division Limit","Interval verdeellimiet"
"Invalid Tier Prices","Ongeldige staffelprijzen"
"Invalid attribute %s","Ongeldige attribuut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ongeldige attribuut optie gespecificeerd voor attribuut %s (%s), record wordt overgeslagen."
"Invalid attribute set specified, skipping the record.","Ongeldige attribuutset gespecificeerd, record wordt overgeslagen."
"Invalid block: %s.","Ongeldig blok: %s."
"Invalid category IDs.","Ongeldige categorie id's."
"Invalid category.","Ongeldige categorie."
"Invalid image file type.","Ongeldig afbeelding bestandstype."
"Invalid image type.","Ongeldig afbeeldingstype"
"Invalid option ID specified for %s (%s), skipping the record.","Ongeldig optiekenmerk gespecificeerd voor %s (%s), record wordt overgeslagen."
"Invalid product type specified, skipping the record.","Ongeldig product type gespecificeerd, record wordt overgeslagen."
"Invalid store specified","Ongeldige winkel opgegeven"
"Invalid store specified, skipping the record.","Ongeldige winkel opgegeven, record wordt overgeslagen."
"Invalid tier prices. The product is not associated to the requested website.","Ongeldige prijzen. Het product is niet verbonden met de verzochte website."
"Inventory","Voorraad"
"Is Default","Is standaard"
"Is Required","Is verplicht"
"Items %s to %s of %s total","Artikelen %s tot %s van %s in totaal"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gewenste producten om te verbergen in de catalogus of zoekopdrachten dienen in de gewenste winkel de status 'Disabled' of 'Uitgeschakeld' te krijgen."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gewenste productartikelen om te verbergen in de catalogus of zoekresultaten dienen in de gewenste winkel de status 'Disabled' of 'Uitgeschakeld' te krijgen."
"Keep your eyes open for our special Back to School items and save A LOT!","Let goed op de speciale 'Terug naar School'-producten en bespaar EEN HOOP!"
"Label","Label"
"Last Name","Achternaam"
"Last Notification","Laatste melding"
"Layered Navigation","Gelaagde navigatie"
"Learn More","Lees meer"
"Line %d, Email: %s","Regel %d, E-mail: %s"
"Line %d, SKU: %s","Regel %d, SKU artikelnr: %s"
"Link (Related, Up sell, Cross sell)","Verwijzing / link (verwant, up-sell, cross-sell)"
"Link product does not exist.","Verwijzing naar product bestaat niet."
"Link to a Specified Category","Verwijs naar een opgegeven categorie"
"Link to a Specified Product","Verwijs naar een opgegeven product"
"List","Lijst"
"List Mode","Lijstweergave"
"List of Products that are set as New","Lijst met producten als 'Nieuw' ingesteld"
"List of types","Lijst met soorten"
"Manage Attribute Sets","Beheer attribuutsets"
"Manage Attributes","Beheer attributen"
"Manage Catalog Categories","Beheer catalogus-categorieën"
"Manage Categories","Beheer categorieën"
"Manage Label / Options","Beheer label / opties"
"Manage Options (values of your attribute)","Beheer opties (waarden van het attribuut)"
"Manage Product Attributes","Beheer productattributen"
"Manage Product Sets","Beheer productsets"
"Manage Products","Beheer producten"
"Manage Stock","Voorraadbeheer"
"Manage Titles (Size, Color, etc.)","Beheer titels (afmetingen, kleur, enz.)"
"Max Characters","Maxmaal aantal tekens"
"Maximal Depth","Maximale diepte"
"Maximum Image Size","Maximum afbeelding formaat"
"Maximum Number of Price Intervals","Maximum aantal prijsintervallen"
"Maximum Qty Allowed in Shopping Cart","Maximum hoeveelheid toegestaan in winkelwagen"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum toegestane formaat afbeelding '%s' is %sx%s px."
"Maximum image height","Maximum hoogte afbeelding"
"Maximum image width","Maximum breedte afbeelding"
"Maximum number of characters:","Maximum aantal tekens:"
"Maximum number of price intervals is 100","Maximum aantal prijsintervallen is 100"
"Media Image","Afbeelding"
"Minimum Advertised Price","Minimum geadverteerde verkoopprijs"
"Minimum Lines per Page","Minimum regels per pagina"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal toegestaan in winkelwagen"
"Minimum Qty for Item's Status to be Out of Stock","Minimum hoeveelheid voor product status naar 'Uitverkocht / Niet op voorraad'"
"Missing SKU, skipping the record.","SKU artikelnummer ontbreekt, record wordt overgeslagen."
"More Views","Meer weergaves"
"Move","Verplaatsen"
"Move category in tree","Categorie verplaatsen in boomstructuur"
"Must be in the allowed values list.","Dient voor te komen in de lijst met toegestane waardes."
"N/A","N/A"
"Name","Naam "
"Name in %s","Naam in %s"
"New Product","Nieuw product"
"New Product Attribute","Nieuw product-attribuut"
"New Products","Nieuwe producten"
"New Products Grid Template","Nieuwe sjabloon product raster"
"New Products List Template","Nieuwe sjabloon product lijst"
"New Root Category","Nieuwe stamcategorie"
"New Search","Nieuwe zoekactie"
"New Set Name","Nieuwe naam set"
"New Subcategory","Nieuwe subcategorie"
"Next","Volgende"
"No","Nee"
"No image","Geen afbeelding"
"No layout updates","Geen layout updates"
"No options of this product are available.","Geen opties voor dit product beschikbaar."
"No product collections found.","Geen productverzamelingen gevonden."
"None","Geen"
"Not Visible Individually","Niet individueel zichtbaar"
"Notify Low Stock RSS","RSS voor melding bij lage voorraad"
"Notify for Quantity Below","Melden bij aantal lager dan"
"Number of Products to Display","Aantal producten om te laten zien"
"Number of Uses","Aantal keer gebruikt"
"Number of results","Aantal resultaten"
"Number of results (For the last time placed)","Aantal resultaten (voor de laatste maal geplaatst)"
"OK","OK"
"OR","OF"
"Old Price:","Oude (vorige) prijs:"
"On Gesture","Op verzoek"
"Option validation failed to add product to cart.","Optie validatie niet geslaagd product aan winkelwagen toe te voegen."
"Option values","Optiewaardes"
"Option:","Optie:"
"Options","Opties"
"Options Control","Opties beheren"
"Options is required","Opties zijn verplicht"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Onze klantenservices is 24-uur, 7-dagen per week beschikbaar. Neem contact op met (000) 123"
"Out of Stock","Niet op voorraad"
"Out of stock","Niet op voorraad"
"PM","PM"
"Page Title Separator","Scheidingsteken paginatitel"
"Parent Category","Hogere categorie"
"Pending","Wachtende"
"Pending Reviews RSS","RSS van wachtende reviews"
"Percentage","Percentage"
"Please add rows to option.","Rijen aan optie toevoegen"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Opgelet! Zodra op een rij geklikt wordt zullen de pakketgegevens van het geselecteerde bestand geladen worden en zullen alle niet opgeslagen formuliergegevens verloren gaan!"
"Please click on the Close Window button if it is not closed automatically.","Klik op de 'Venster sluiten' knop -kruisje als deze niet automatisch gesloten wordt."
"Please enter a new group name","Voer een nieuwe groepnaam in"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Vernieuw de ""Catalogus Rewrites"" en de ""Productattributen"" in Systeem -> <a href=""%s"">Beheer indexeringen</a>"
"Please select a static block ...","Selecteer een statisch blok ..."
"Please select items.","Selecteer onderdelen"
"Please select one or more attributes.","Selecteer een of meer attributen"
"Please select product(s).","Selecteer product(en)"
"Please select products for attributes update","Selecteer producten voor attributen bijwerken"
"Please specify date required option(s).","Specifieer de datumoptie(s)"
"Please specify the number of products, that will not be divided into subintervals.","Specificeer het aantal producten dat niet in subintervals onderverdeeld wordt."
"Please specify the product required option(s)","Specificeer de verplichte productoptie(s)"
"Please specify the product required option(s).","Specificeer de verplichte productoptie(s)."
"Please specify the product's option(s).","Specificeer productoptie(s)."
"Please specify the product's required option(s).","Specificeer de product verplichte optie(s)."
"Please specify the quantity of product(s).","Specificeer product hoeveelhe(i)d(en)."
"Please specify time required option(s).","Specificeer tijd verplichte optie(s)."
"Please wait...","Een moment..."
"Position","Positie"
"Position in Layered Navigation","Positie in de gelaagde navigatie"
"Position of attribute in layered navigation block","Positie van attribuut in blok gelaagde navigatie"
"Prev","Vorige"
"Previous","Vorige"
"Price","Prijs"
"Price Navigation Step Calculation","Prijsweergave stappen berekenen"
"Price Type","Prijstype"
"Price is not available","Prijs is niet beschikbaar"
"Price values for options should be specified in system base currency.","Prijzen voor opties dienen in de basis-valuta gespecificeerd te worden."
"Price:","Prijs:"
"Price: %s","Prijs: %s"
"Print This Page","Deze pagina afdrukken"
"Product","Productartikel"
"Product API","Product API"
"Product Alerts","Productmeldingen"
"Product Attribute","Productattribuut"
"Product Attributes","Productattributen"
"Product Categories","Productcategorie&euml;n"
"Product Description","Productbeschrijving"
"Product Extra Info","Product extra informatie"
"Product Flat Data","Product platte gegevensstructuur"
"Product ID","Productkenmerk"
"Product Image Placeholders","Placeholder voor productafbeelding"
"Product Image Watermarks","Watermerken voor productafbeelding"
"Product Images","Productafbeeldingen"
"Product Images API","Productafbeeldingen API"
"Product In Websites","Product in websites"
"Product Info Column","Kolom productgegevens"
"Product Information","Productgegevens"
"Product Link Block Template","Sjabloon product link blok"
"Product Link Inline Template","Sjabloon product link inline"
"Product Listing Sort by","Product lijstweergave rangschikken op"
"Product Name","Productnaam"
"Product Prices","Productprijzen"
"Product Reviews","Productbeoordelingen"
"Product Tags","Productetiketten"
"Product Tier Price API","Product staffelprijs API"
"Product Type","Producttype"
"Product URL Suffix","Product URL achtervoegsel"
"Product View Extra Hint","Productweergave extra hint"
"Product attribute sets API","Productattributensets API"
"Product attributes API","Productattributen API"
"Product collection expected.","Verzameling producten verwacht"
"Product is not loaded","Product is niet geladen"
"Product links API (related, cross sells, up sells)","Productverwijzingen (link) API (verwant, cross-selling, up-selling)"
"Product name","Productnaam"
"Product types API","Producttypen API"
"Product with this combination of attributes already associated to configurable.","Product met deze combinatie aan attributen is al verbonden met configureerbaar."
"Products","Producten"
"Products Comparison List","Lijst productvergelijkingen"
"Products Information","Productinformatie"
"Products Reviews","Productbeoordelingen"
"Products Sitemap","Sitemap van producten"
"Products only","Alleen producten"
"Products per Page on Grid Allowed Values","Toegestane waardes producten per pagina rasterweergave"
