"Accepted Currency","Devise acceptée"
"An error has occurred","Une erreur est survenue"
"An error occurred during paying process.","Erreur lors du process de paiement."
"An error occurred during the paying process.","Erreur lors du process de paiement."
"Authorize Only","Autorisation seulement"
"Authorize and Capture","Autorisation et collecte"
"CGI URL","URL CGI"
"Card Verification Number","Numéro de vérification"
"ChronoPay Gateway","Passerelle ChronoPay"
"ChronoPay Standard","ChronoPay Standard"
"Credit Card Number","Numéro de carte bancaire"
"Credit Card Number: xxxx-%s","<strong>Numéro de carte de paiement :</strong> <span class=""nowrap"">xxxx-%s</span>"
"Credit Card Type","Type de carte de crédit"
"Credit Card Type: %s","<strong>Type de carte de paiement :</strong> <span class=""nowrap"">%s</span>"
"Credit Card Types","Types de cartes de paiement"
"Customer Interface Language","Langue de l'interface client"
"Debug","Déboguage"
"Dutch","Néerlandais"
"Enabled","Activé"
"English","Anglais"
"Expiration Date","Date d'expiration"
"Gateway request error: %s","Erreur de requête passerelle : %s"
"German","Allemand"
"Invalid operation code.","Code d'opération invalide."
"Invalid response format.","Format de réponse invalide."
"Issue Number","Numéro de problème"
"Name on Card","Propriétaire de la carte"
"Name on the Card: %s","<strong>Nom sur la carte :</strong> <span class=""nowrap"">%s</span>"
"New Order Status","Statut d'une nouvelle commande"
"Order #%s","Commande n°%s"
"Order number will be used if left empty.","C'est le numéro de commande qui sera utilisé si ce champ est vide."
"Payment Action","Action de paiement"
"Payment from Applicable Countries","Mode de paiement autorisé pour"
"Payment from Specific Countries","Mode de paiement autorisé pour les pays spécifiques"
"Please Select","Veuillez sélectionner"
"Product ID","ID de produit"
"Russian","Russe"
"Shared Secret","Secret partagé"
"Site ID","ID du site"
"Sort Order","Ordre de tri"
"Specify access URL: {STORE_URL}/chronopay/standard/success in the ChronoPay client admin.","Spécifiez l'url d'accès : {URL_BOUTIQUE}/chronopay/standard/success dans l'admin du client ChronoPay."
"Start Date","Date de début"
"Switch/Solo Only","Switch/Solo seulement"
"The customer has successfully returned from Chronopay.","Le client est revenu de Chronopay."
"The customer was redirected to Chronopay.","Le client a été redirigé vers Chronopay."
"The selected currency code (%s) is not compatible with ChronoPay.","Le code de devise sélectionné (%s) est incompatible avec ChronoPay."
"The transaction ID is invalid.","L'ID de transaction est invalide."
"Title","Titre"
"Transaction Description","Description de la transaction"
"What is this?","Aide ?"
"You will be redirected to ChronoPay in a few seconds.","Vous serez redirigé vers ChronoPay dans quelques secondes."
"You will be redirected to Chronopay website when you place an order.","Vous serez redirigé vers le site de ChronoPay à l'issue de votre commande."
