"%s","%s"
"-- Please Select --","-- Faites un choix --"
"Actions","Actions"
"Add Layout Update","Ajouter une mise à jour d'agencement"
"Add New Widget Instance","Ajouter une nouvelle instance de widget"
"All","Tous"
"All Pages","Toutes les pages"
"All Product Types","Tous les types de produits"
"Anchor Categories","Catégorie ancrée"
"Assign to Store Views","Assigner à la vue magasin"
"Big Image","Grande image"
"Block Reference","Bloc de référence"
"CMS","CMS"
"Categories","Catégories"
"Choose...","Choisir..."
"Close","Fermer"
"Continue","Continuer"
"Default Template","Gabarit par défaut"
"Delete","Supprimer"
"Design Package/Theme","Interface/Thème de design"
"Export to:","Exporter vers :"
"Frontend Properties","Propriétés du frontend"
"Generic Pages","Pages génériques"
"Images","Images"
"Insert Widget","Insérer un widget"
"Layout Updates","Mises à jour d'agencements"
"Manage Widget Instances","Gérer les instances de widgets"
"New Instance","Nouvelle instance"
"New Widget Instance","Nouvelle instance de widget"
"Next page","Page suivante"
"Non-Anchor Categories","Catégories non ancrées"
"Not Selected","Non sélectionné"
"Page","Page"
"Please Select Block Reference First","Veuillez choisir un bloc de référence"
"Previous page","Page précédente"
"Products","Produits"
"Remove Layout Update","Supprimer la mise à jour d'agencement"
"Save and Continue Edit","Sauvegarder et continuer à éditer"
"Select All","Sélectionner tout"
"Select Visible","Sélectionner les éléments visibles"
"Settings","Paramétrage"
"Sort Order","Ordre de tri"
"Sort Order of widget instances in the same block reference","Ordre des instances de widgets dans le même bloc de référence"
"Specific %s","Spécifique à %s"
"Specified Page","Page spécifiée"
"Template","Gabarit"
"The information in this tab has been changed.","Les informations contenues dans cet onglet ont été changées."
"The widget instance has been deleted.","L'instance de widget a bien été effacée."
"The widget instance has been saved.","L'instance de widget a bien été sauvegardée."
"This tab contains invalid data. Please solve the problem before saving.","Cet onglet contient des données non valides. Veuillez résoudre le problème avant de sauvegarder."
"Thumbnail","Miniature"
"Total %d records found","%d enregistrement(s) trouvé(s)"
"Type","Type"
"Unselect All","Désélectionner tout"
"Unselect Visible","Désélectionner les éléments visibles"
"View","Voir"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID de widget"
"Widget Instance","Instance de widget"
"Widget Instance Title","Titre de l'instance de widget"
"Widget Options","Options du widget"
"Widget Type","Type de widget"
"Widget Type is not specified","Le type du widget n'est pas spécifié"
"Widget instance is not full complete to create.","Création impossible, l'instance du widget n'est pas complète."
"Widgets","Widgets"
"Wrong wigdet instance specified.","Mauvaise instance de wigdet spécifiée"
"items selected","élément(s) sélectionné(s)"
"of %s pages","sur %s pages"
"per page","par page"
"Add New","Ajouter"
"Back","Retour"
"Anchor Custom Title","Présenter un titre personnalisé"
"Anchor Custom Text","Présenter un texte personnalisé"
""
""
"Apply","Appliquer"
"Insert Widget...","Insérer un widget..."
"Open Chooser","Ouvrir le sélecteur"
"Widget Insertion","Insertion de widget"
"Wrong widget instance specified.","L'instance de widget spécifiée est erronée."
