"Authorization","Autorisation"
"Authorization Waiting from Ogone","Attente d'autorisation de la part d'Ogone"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Autorisation inconnue : un problème technique est survenue durant le process d'autorisation"
"Background Color of Ogone Template","Couleur d'arrière-plan du gabarit Ogone"
"Button Background Color of the Ogone Template","Couleur d'arrière-plan de bouton pour le gabarit Ogone"
"Button Text Color of the Ogone Template","Couleur de texte de bouton pour le gabarit Ogone"
"Cancelled Ogone","Annulé Ogone"
"Debug","Déboguage"
"Declined Ogone","Refusé Ogone"
"Declined Order on Ogone side.","Commande refusée par Ogone."
"Direct Sale","Vente directe"
"E.g: ""Verdana"".","Par ex. ""Verdana"""
"E.g: ""black"".","Par ex. ""black""."
"E.g: ""white"".","Par ex. ""white""."
"Enabled","Activé"
"Exception not defined","Exception non définie"
"Font Family of the Ogone Template","Famille de police pour le gabarit Ogone"
"For production, replace ""test"" with ""prod"". Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","En production, remplacez ""test"" par ""prod"". Par ex., https://secure.ogone.com/ncol/prod/orderstandard.asp"
"Gateway URL","URL de passerelle"
"Horizontally grouped logo with group name on left","Logo groupé horizontalement avec le nom du groupe à gauche"
"Horizontally grouped logo with no group name","Logo groupé horizontalement sans le nom du groupe"
"If you choose ""No Operation"", Ogone will use default payment procedure setup in Ogone configuration.","Si vous choisissez ""Pas d'opération"", Ogone utilisera la procédure de paiement paramétrée dans la configuration Ogone."
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","Si vous choisissez ""Gabarit Ogone"", vous devez remplir les champs suivants."
"Layout of Payment Methods","Disposition des modes de paiement"
"Logo of the Ogone Template","Logo du gabarit Ogone"
"Magento","Magento"
"Ogone","Ogone"
"Ogone Default Operation","Opération par défaut Ogone"
"Order can't save","Impossible d'enregistrer la commande"
"PSPID","PSPID"
"Payment Action","Action de paiement"
"Payment Template","Gabarit de paiement"
"Payment transaction has been declined.","La transaction de paiement a été refusée."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","Paiement incertain : un problème technique est survenu lors du process de paiement."
"Pending Ogone","En attente Ogone"
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Veuillez patienter. Vous serez redirigé vers le site de paiement Ogone dans quelques secondes."
"Processed Ogone Payment","Paiement Ogone traité"
"Processed by Ogone","Traité par Ogone"
"Processing Ogone Payment","Paiement Ogone en cours de traitement"
"SHA-1- OUT Signature","Signature de sortie SHA-1"
"SHA-1-IN Signature","Signature d'entrée SHA-1"
"Start Ogone Processing","Démarrer le traitement Ogone"
"Table Background Color of the Ogone Template","Couleur d'arrière-plan de tableau pour le gabarit Ogone"
"Table Text Color of the Ogone Template","Couleur du texte des tableaux pour le gabarit Ogone"
"Text Color of the Ogone Template","Couleur du texte pour le gabarit Ogone"
"The hash is not valid","Le hashage n'est pas valide."
"The order cannot be canceled for a system reason.","La commande ne peut pas être annulée pour une raison système."
"The order cannot be saved for a system reason.","La commande ne peut pas être enregistrée pour une raison système."
"The order cannot be saved.","La commande ne peut pas être enregistrée."
"The order is not valid","La commande n'est pas valide."
"The order was canceled on ogone side.","La commande a été annulée du côté Ogone."
"Title","Titre"
"Title of the Ogone Template","Titre du gabarit Ogone"
"URL/filename of the logo.<br />The URL must be absolute and stored on a secure server.","URL / nom de fichier du logo. <br/>L'URL doit être absolue et stockée sur un serveur sécurisé."
"Unknown exception","Exception inconnue."
"Verical list","Liste verticale"
"Waiting Authorization","Autorisation en attente"
"You can arrange the layout/list of the payment methods on Ogone payment page.","Vous pouvez organiser la mise en page / liste des modes de paiement sur la page de paiement Ogone."
"You will be redirected to Ogone website when you place an order.","Vous serez redirigé vers le site d'Ogone à l'issue de votre commande."
