"All Websites","Tous les sites web"
"Apply Discounts To FPT","Appliquer les remises au TFP"
"Apply Tax To FPT","Appliquer la taxe au TFP"
"Display Prices In Emails","Afficher les prix dans les emails"
"Display Prices In Product Lists","Afficher les prix dans la liste des produits"
"Display Prices In Sales Modules","Afficher les prix dans les modules de paiement"
"Display Prices On Product View Page","Afficher les prix dans les fiches produits"
"Enable FPT","Activer les TFP"
"Excluding FPT","Hors TFP"
"Excluding FPT, FPT description, final price","Hors TFP, description des TFP dans le prix final"
"Fixed Product Tax","Taxe Fixe de Produit"
"Fixed Product Taxes","Taxes Fixes de Produit"
"Include FPT In Subtotal","Inclure TFP dans le sous-total"
"Including FPT and FPT description","TFP incluses et description des TFP"
"Including FPT and FPT description [incl. FPT VAT]","TFP incluses et description des TFP [dont TFP]"
"Including FPT only","FPT incluses uniquement"
"Total","Total"
"Total Incl. Tax","Total TTC"
"Total incl. tax","Total TTC"
