"# of Use","Nb d'utilisations"
"%1$s incl tax.","%1$s TTC"
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copier les données depuis : %s)"
"(Will make search for the query above return results for this search.)","(Fera une recherche pour la requête ci-dessus. Retourne des résultats pour cette recherche)"
"* Required Fields","* Champs obligatoires"
"-- Please Select --","-- Faites un choix --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 par défaut, si non renseigné. Pour actualiser instantanément, purgez le cache des Blocs HTML de sortie."
"A group with the same name already exists.","Il existe déjà un groupe portant ce nom."
"A name is required","Un nom est requis"
"A product type is not defined for the indexer.","Aucun type de produit n'est défini pour l'indexer."
"ALL GROUPS","TOUS LES GROUPES"
"AM","AM"
"Action","Action"
"Add Attribute","Ajouter un attribut"
"Add Design Change","Ajouter un changement de design"
"Add Group","Ajouter un groupe"
"Add New","Ajouter"
"Add New Attribute","Ajouter un attribut"
"Add New Attribute Set","Nouveau jeu d'attributs"
"Add New Group","Nouveau groupe"
"Add New Images","Nouvelles images"
"Add New Option","Ajouter une option"
"Add New Row","Ajouter une ligne"
"Add New Search Term","Ajouter un terme de recherche"
"Add New Set","Ajouter un jeu"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter le produit aux sites web"
"Add Root Category","Ajouter une catégorie racine"
"Add Subcategory","Ajouter une sous-catégorie"
"Add Tax","Ajouter une taxe"
"Add Tier","Ajouter un palier"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste d'envies"
"Additional Information","Informations complémentaires"
"Alert Urls","Urls d'alerte"
"All","Tous"
"All Product Types","Tous les types de produits"
"All Websites","Tous les sites web"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Tous les produits de ce jeu seront supprimés ! Êtes-vous sûr(e) de vouloir supprimer ce jeu d'attributs ?"
"Allow All Products per Page","Autoriser tous les produits par page"
"Allow Dynamic Media URLs in Products and Categories","Autoriser les URLs de media dynamiques dans les produits et catégories"
"Allow HTML Tags on Frontend","Autoriser les balises HTML sur le frontend"
"Allowed File Extensions","Extensions de fichier autorisées"
"Allowed file extensions to upload","Extensions de fichier autorisées pour l'envoi"
"An error occurred while adding customers for the %s alert. Message: %s","Erreur lors de l'ajout de clients pour l'alerte %s. Message : %s"
