"Add","Añadir"
"Open Chooser","Abrir el selector"
"Apply","Aplicar"
"Expire at: %s","Caduca el: %s"
"contains","contiene"
"ANY","CUALQUIERA"
"Description: %s","Descripción: %s"
"Invalid discount amount.","El importe de descuento no es válido"
"Remove","Eliminar"
"Start at: %s","Empezar el: %s"
"is","es"
"equals or greater than","es igual o superior a"
"is one of","es uno de"
"FALSE","FALSO"
"to","hasta"
"MATCHING ANY","IGUAL ALGUNO"
"equals or less than","igual o inferior a"
"MATCHING ALL","IGUAL TODO"
"less than","menos de"
"does not contain","no contiene"
"is not","no es"
"is not one of","no es uno de"
"NOT MATCHING ANY","NO IGUAL ALGUNO"
"NOT MATCHING ALL","NO IGUAL TODO"
"Name: %s","Nombre: %s"
"by","para"
"Please choose an action to add...","Por favor, seleccione una acción para añadir&hellip;"
"Please choose a condition to add...","Por favor, seleccione una condición para añadir&hellip;"
"Perform following actions","Realizar las siguientes acciones"
"If %s of these conditions are %s:","Si %s de estas condiciones són %s:"
"greater than","superior a"
"ALL","TODO"
"TRUE","VERDADERO"
