"(eg: domain.com/identifier)","(ej: dominio.com/identificador)"
"Action","Acción"
"Add New Block","Agregar un nuevo bloque"
"Add New Page","Agregar una nueva página"
"Static Blocks","Bloques estáticos"
"Delete Block","Borrar el bloque"
"Delete Page","Borrar la página"
"CMS","CMS"
"Content","Contenido"
"Description","Descripción"
"Disabled","Deshabilitado"
"Layout","Diseño"
"Custom Design","Diseño personalizado"
"Edit Block","Editar el bloque"
"Edit Block '%s'","Editar el bloque '%s'"
"Edit Page","Editar la página"
"Edit Page '%s'","Editar página '%s'"
"Block was successfully deleted","El bloque fue borrado con éxito"
"Block was successfully saved","El bloque fue grabado con éxito"
"Page Identifier cannot consist only of numbers.","El identificador de la página no puede tener sólo números."
"Page Identifier for specified store already exist.","El identificador de la página para la tienda especificada ya existe."
"This page no longer exists","Esta página ya no existe"
"Status","Estado"
"Page Status","Estado de la página"
"This block no longer exists","Este bloque ya no existe"
"Date Created","Fecha de creación"
"Poll Manager","Gestión de votaciones"
"Manage Pages","Gestionar las páginas"
"Save Block","Guardar el bloque"
"Save Page","Guardar la página"
"Enabled","Habilitado"
"Identifier","Identificador"
"SEF URL Identifier","Identificador URL de SEF"
"Unable to find a block to delete","Imposible encontrar un bloque para borrar"
"Unable to find a page to delete","Imposible encontrar una página para borrar"
"Customer Tax Class Information","Información de la clase de impuesto al cliente"
"Product Tax Class Information","Información de la clase de impuesto al producto"
"Page Information","Información de la página"
"Block Information","Información del bloque"
"General Information","Información general"
"Home","Inicio"
"Go to Home Page","Ir a la página de inicio"
"Page was successfully deleted","La página fue borrada con éxito"
"Page was successfully saved","La página fue grabada con éxito"
"The page you are trying to save no longer exists","La página que está tratando de grabar ya no existe"
"Meta Data","Meta Datos"
"Meta Description","Meta Descripcción"
"Meta Keywords","Meta Palabras clave"
"Show breadcrumbs for CMS pages","Mostrar el camino de navegación para páginas CMS"
"New Page","Nueva página"
"New Block","Nuevo bloque"
"Keywords","Palabras clave"
"CMS No Route Page","Página de ""falta de ruta"" CMS"
"CMS Home Page","Página de inicio CMS"
"Title","Título"
"Page Title","Título de la página"
"Block Title","Título del bloque"
"Custom Theme","Tema personalizado"
"Custom Theme From","Tema personalizado desde"
"Custom Theme To","Tema personalizado hasta"
"All countries","Todos los países"
"Last Modified","Ultima modificación"
"Store View","Vista de la tienda"
"Layout Update XML","XML de actualización de Layout"
"Such a block identifier in selected store already exist.","Ya existe un identificador de bloque similar en la tienda seleccionada"
