"%s and greater","%s y mayor"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Don't see what you're looking for?","¿No puede encontrar lo que estás buscando?"
"Advanced Search","Búsqueda Avanzada"
"Catalog Advanced Search","Búsqueda avanzada en el catálogo"
"Catalog Search","Búsqueda del catálago"
"Search Site","Búsqueda en el sitio"
"Search","Buscar"
"Search entire store here...","Buscar en toda la tienda..."
"Required Fields","Campos requeridos"
"Search Settings","Configuraciones de la búsqueda"
"Grid","Cuadrícula"
"You have to specify at least one search term","Debe especificar al menos un término de búsqueda"
"Maximum Search query  length is %s. Your query was cut.","El máximo de carácteres para la búsqueda son %s. La busqueda ha sido abortada."
"up to %s","hasta %s"
"Home","Inicio"
"Please enter ""0"" to enable layered navigation for any number of results","Introduce ""0"" para activar cualquier resultado"
"Go","Ir"
"Go to Home Page","Ir a la pagina de inicio"
"List","Lista"
"Maximum Query Length","Longitud máxima de la búsqueda"
"Autogenerated site map","Mapa del sitio autogenerado"
"Maximum Query Words Count","Maximum Query Words Count"
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modifique su búsqueda"
"No","No"
"There are no search terms available.","No existen términos de búsqueda disponibles."
"No items were found using the following search criteria.","No se han encontrado resultados con esta búsqueda"
"Relevance","Relevance"
"Results","Resultados"
"Search results for '%s'","Resultados de la búsqueda para '%s'"
"Search results for: '%s'","Resultados de la búsqueda para: '%s'"
"Yes","Si"
"Your search returns no results.","Su búsqueda no devolvió resultados."
"Subscribe to Feed","Subscripción al  canal"
"Search Terms","Términos de búsqueda"
"Popular Search Terms","Términos de Búsqueda Populares"
"Popular search terms","Términos de búsqueda populares"
"Search Type","Tipo de búsqueda"
"All","Todo"
