"* Required Fields","* Campos requeridos"
"Comment","Comentario"
"Contacts","Contactos"
"Contact Us","Contáctenos"
"Email","Correo electrónico"
"Submit","Enviar"
"Send Emails To","Enviar correos electrónicos a"
"Contact Form","Formulario de contacto"
"Enable Contact Us","Habilitar Contáctenos"
"Unable to submit your request. Please, try again later","Imposible procesar su solicitud. Por favor, inténtelo más tarde"
"Contact Information","Información de contacto"
"Name","Nombre"
"Email Options","Opciones de correo electrónico"
"Email Template","Plantilla del correo electrónico"
"Email Sender","Remitente del correo electrónico"
"Contacts Section","Sección"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Su consulta se ha enviado y se responderá con la mayor brevedad. Gracias por contactar con nosotros."
"Telephone","Teléfono"
