"* Required Fields","* Verplicht"
"AW RMA Base template for admin","AW RMA Standaard template voor admin"
"AW RMA Base template for customer","AW RMA Standaard template voor klant"
"About This Order:","Over deze bestelling:"
"Actions","Acties"
"Add Comment","Nieuwe opmerking"
"Add New RMA","Nieuwe RMA aanvragen"
"Additional Information","Extra informatie"
"Admin Notes","Admin notities"
"Admin only","Enkel admin"
"All","Alle"
"All RMA","Alle RMA's"
"Allow guests to request RMA","Niet geregistreerde gebruikers kunnen RMA aanvragen"
"Allow per-order item RMA","Sta RMA aanvraag toe per besteld product"
"Allow to request RMA after order completion, days","RMA aanvraag toestaat tot dagen na bestelling"
"Approved","Goedgekeurd"
"Approvement Code","Goedgekeurde code"
"Approvement Code:","Goedgekeurde code:"
"Are you sure you want do this?","Zeker weten?"
"Are you sure you would like to cancel this RMA?","Weet u zeker dat u deze RMA wilt annuleren?"
"Attachment","Bijlage"
"Back","Terug"
"Base template for admin","Standaard template voor admin"
"Base template for customer","Standaard template voor klant"
"Basic RMA Information","Algemene RMA informatie"
"Basic Request Information","Algemene informatie"
"Billing Address","Factuuradres"
"Can't load RMA by given ID","Kan geen RMA laden met gegeven ID"
"Can't load RMA by specified ID","Kan geen RMA laden met gegeven ID"
"Can't load RMA request","Kan geen RMA aanvraag laden"
"Can't load comment","Kan bericht niet laden"
"Can't load order","Kan bestelling niet laden"
"Can't load status by given ID","Kan geen status laden met gegeven ID"
"Can't load type by given ID","Kan geen type laden met gegeven ID"
"Cancel","Annuleren"
"City","Woonplaats"
"Comment ID isn't specified","ID van bericht niet gespecificeerd"
"Comment Text","Bericht"
"Comment successfully added","Bericht succesvol toegevoegd"
"Comment text can't be empty","Bericht is verplicht"
"Company","Bedrijf"
"Confirm Shipping","Verzending bevestigen"
"Confirm Shipping popup text","Confirm Shipping popup text"
"Contact Information","Contact Information"
"Contacts","Contacts"
"Couldn't load order","Kon bestelling niet laden"
"Couldn't load order by given order ID","Kon geen bestelling laden met gegeven ID"
"Count","Aantal"
"Country","Land"
"Customer Address","Klant adres"
"Customer Email","Klant e-mail"
"Customer Name","Klantnaam"
"Customer isn't owner of the given order","Klant is niet eigenaar van de gegeven order"
"Customer only","Alleen klanten"
"Date","Datum"
"Date:","Datum: "
"Delete","Delete"
"Details","Details"
"Disable","Uitschakelen"
"E-mail","E-mail"
"Edit","Bewerken"
"Edit RMA Status","Bewerk RMA status"
"Edit RMA Type","Bewerk RMA type"
"Email sender","Afzender e-mail"
"Email templates","E-mailsjabloons"
"Enable ","Inschakelen"
"Enable email notifications","E-mail notificatie inschakelen"
"Enabled","Ingeschakeld"
"External RMA ID isn't specified","Extern RMA ID is niet gespecificeerd"
"External URL","Externe URL"
"Fax","Fax"
"File (","Bestand ("
"First Name","Voornaam"
"Forbidden file extension","Verboden bestandstype"
"Forbidden filename extensions for uploading","Verboden bestandstypes voor uploaden"
"General","Algemeen"
"Gift Message","Cadeau bericht"
"ID","ID"
"ID:","ID:"
"Id","Id"
"Initiated at:","Aangevraagd op:"
"Items Ordered","Producten besteld"
"Items RMA Requested for","Producten waarvoor RMA is aangevraagd"
"Last Name","Achternaam"
"Leave Comment","Bericht achterlaten"
"Manage Statuses","Beheer statussen"
"Manage Types","Beheer types"
"Max attachment size, kb","Maximale bijlage grootte, kb"
"Maximal allowed attachment size is","De maximale grootte voor ene bijlage is"
"Message","Bericht"
"Name","Naam"
"New RMA Status","Nieuwe RMA Status"
"New RMA Type","Nieuw RMA type"
"New RMA request has been successfully added","RMA aanvraag is succesvol toegevoegd"
"No","Nee"
"No ID specified","Geen ID gespecificeerd"
"No comments yet","Nog geen opmerkingen"
"No items for request specified","Geen producten voor aanvraag gespecificeerd"
"No items requested","Geen producten aangevraagd"
"No items selected","Geen producten geselecteerd"
"No order selected","Geen bestelling geselecteerd"
"No shipping information available","Geen verzendinformatie beschikbaar"
"Notes","Aantekeningen"
