"Actions","Acties"
"An error occurred while marking notification as read.","Er is iets misgegaan bij het markeren als gelezen."
"An error occurred while marking the messages as read.","Er is iets misgegaan bij het markeren als gelezen."
"An error occurred while removing messages.","Er is iets misgegaan bij het verwijderen van de notificaties"
"An error occurred while removing the message.","Er is iets misgegaan bij het verwijderen van de notificatie"
"Are you sure?","Weet u het zeker?"
"Date Added","Datum toegevoegd"
"Last Update","Laatste wijziging"
"Mark as Read","Markeren als gelezen"
"Mark as read","Markeer als gelezen"
"Message","Bericht"
"Messages Inbox","Berichteninbox"
"Notifications","Meldingen"
"Please select messages.","Selecteer de notificaties"
"Read Details","Details lezen"
"Remove","Verwijderen"
"Severity","Ernst"
"Show List","Lijst tonen"
"Show Toolbar","Toolbar tonen"
"The message has been marked as read.","De notificatie is gemarkeerd als gelezen."
"The message has been removed.","De notificatie is verwijderd"
"Total of %d record(s) have been marked as read.","In totaal %d notificatie(s) zijn gemarkeerd als gelezen"
"Total of %d record(s) have been removed.","In totaal %d notificatie(s) zijn verwijderd"
"Unable to proceed. Please, try again.","Probeer het opnieuw"
"Update Frequency","Update-frequentie"
"Use HTTPS to Get Feed","Gebruik HTTPS om de feed op te halen"
"Wrong message type","Verkeerde bericht-type"
"critical","kritiek"
"major","belangrijk"
"minor","gering"
"notice","melding"
