"Available tasks","Beschikbare taken"
"Code","Interne naam"
"Created","Aangemaakt"
"Executed","Uitgevoerd"
"Finished","Afgerond"
"List View","Geplande taken (lijst)"
"Messages","Berichten"
"Schedule Configuration","Beheer taken"
"Scheduled","Gepland"
"Scheduled tasks","Geplande taken"
"Scheduler","Taakplanner"
"Scheduler Timeline","Rapportage"
"Timeline View","Geplande taken (tijdlijn)"
"Today","Vandaag"
"error","Fout"
"missed","Niet uitgevoerd"
"pending","In afwachting"
"running","Bezig"
"success","Voltooid"
"Cron Configuration","Configuratie taakplanner"
"Generate Schedule","Taakplanning nu aanmaken"
"Generated schedule","Taakplanning aangemaakt"
"Schedule now","Plan taak nu"
"Run now","Voer nu uit"
