" for more information or "," voor meer informatie of "
"# of Items (and above)","# artikelen (en hierboven)"
"# of Items vs. Destination","# artikelen versus bestemming"
"Allow Shipping to Multiple Addresses","Verzending naar meer adressen toestaan"
"An error occurred while import table rates.","Er is een fout opgetreden bij het importeren van tabel-prijzen"
"Calculate Handling Fee","Verzendkosten berekenen"
"Carrier:","Vervoerder:"
"City","Plaats"
"Close Window","Sluit venster"
"Condition","Conditie"
"Country","Land"
"Date","Datum"
"Delivered on:","Afgeleverd op:"
"Delivered to:","Afgeleverd aan:"
"Description","Beschrijving"
"Displayed Error Message","Weergeven foutbericht"
"Divide to equal weight (one request)","Divide to equal weight (one request)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"")."
"Enabled","Ingeschakeld"
"Error:","Fout:"
"Export","Exporteren"
"File has not been imported. See the following list of errors: %s","File has not been imported. See the following list of errors: %s"
"Fixed","Vast"
"Flat Rate","Vast tarief"
"Free Shipping","Gratis verzending"
"Google Sitemap Section","Google Sitemap"
"Handling Fee","Verwerkingskosten"
"Import","Importeren"
"Include Virtual Products in Price Calculation","Virtuele Producten eveneens mee laten tellen bij berekening"
"Info:","Informatie:"
"Invalid %s ""%s"" in the Row #%s.","Ongeldig %s ""%s"" in de rij #%s"
"Invalid Country ""%s"" in the Row #%s.","Ongeldig land ""%s"" in de rij #%s"
"Invalid Region/State ""%s"" in the Row #%s.","Ongeldige provincie ""%s"" in de rij #%s"
"Invalid Shipping Price ""%s"" in the Row #%s.","Ongeldige verzendkosten ""%s"" in de rij #%s"
"Invalid Table Rate code for type %s: %s","Ongeldige prijstabel-code voor type %s: %s"
"Invalid Table Rate code type: %s","Ongeldige prijstabel-code type: %s"
"Invalid Table Rates File Format","Ongeldig bestandsformaat van prijstabel"
"Invalid Table Rates format in the Row #%s","Invalid Table Rates format in the Row #%s"
"Local Time","Lokale tijd"
"Location","Locatie"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximaal aantal voor verzending naar meer adressen"
"Method Name","Naam van methode"
"Minimum Order Amount","Minimum bestelbedrag"
"N/A","N/B"
"None","Geen"
"Options","Opties"
"Order Subtotal (and above)","Subtotaal bestelling (en hierboven)"
"Origin","Herkomst"
"Per Order","Per bestelling"
"Per Package","Per pakket"
"Percent","Percentage"
"Price","Prijs"
"Price vs. Destination","Prijs versus bestemming"
"Region/State","Provincie"
"Service Type:","Servicetype"
"Ship to Applicable Countries","Verzenden naar landen die van toepassing zijn"
"Ship to Specific Countries","Verzenden naar bepaalde landen"
"Shipment #","Verzendnummer "
"Shipment Tracking Popup","Track & Trace Popup"
"Shipped or billed on:","Verzonden of betaald op:"
"Shipping Methods","Verzendmethodes"
"Shipping Methods Section","Sectie Verzendmethodes"
"Shipping Settings","Verzendinstellingen"
"Shipping Settings Section","Sectie Verzendinstellingen"
"Show Method if Not Applicable","Laat verzendmethode zien indien niet van toepassing"
"Signed by:","Getekend door"
"Sort Order","Sorteervolgorde"
"Status:","Status"
"Store Pickup","Afhalen"
"Street Address","Straatnaam"
"Street Address Line 2","Adres"
"Table Rates","Tarieven prijstabel"
"The shipping module is not available for selected delivery country.","Deze verzendmethode is niet beschikbaar voor het geselecteerde land van aflevering"
"The shipping module is not available.","Deze verzendmethode is niet beschikbaar"
"There is no tracking available for this shipment.","Er is geen tracking beschikbaar voor deze verzending."
"There is no tracking available.","Er is geen tracking beschikbaar."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Deze verzendmethode is momenteel niet beschikbaar. Als u deze verzendmethode wilt gebruiken, neem dan contact met ons op."
"This shipping method is not available, please specify ZIP-code","Deze verzendmethode is niet beschikbaar. Vul de postcode in."
"Title","Titel"
"Track:","Tracking:"
"Tracking Information","Track en Trace informatie"
"Tracking Number:","Trackingnummer:"
"Tracking information is currently not available. Please ","Tracking information is currently not available. Please "
"Tracking information is currently unavailable.","Tracking-gegevens zijn momenteel niet beschikbaar."
"Type","Soort"
"Use origin weight (few requests)","Use origin weight (few requests)"
"Weight (and above)","Gewicht (en daarboven)"
"Weight vs. Destination","Gewicht versus bestemming"
"Weight:","Gewicht:"
"ZIP/Postal Code","Postcode"
"contact us","neem contact op"
"email us at ","email us at "
